round_epochs,loss,mean_squared_error,kullback_leibler_divergence,reconstruction_loss_weight,encoder_num_conv_layers,latent_space_dim,conv_params_middle_kernel_size,conv_params_middle_activation,conv_params_end_kernel_size,conv_params_end_activation,learning_rate
400,0.00831041799059936,0.0082945675,0.015849551,0.0001,5,2,(6, 6),tanh,3,relu,0.001
400,0.0022088087563003813,0.0022048883,0.003920511,0.001,6,2,(6, 3),relu,6,softplus,0.001
400,0.00870833056313651,0.008588309,0.120021455,0.001,5,2,(3, 1),elu,3,softplus,0.001
400,0.003774809478116887,0.0037675258,0.007283715,0.01,5,4,(3, 1),elu,6,softplus,0.001
400,0.00393837208061346,0.003925665,0.012707232,0.0001,6,3,(6, 3),relu,3,sigmoid,0.001
400,0.08510872742959431,0.084905,0.20372911,0.01,6,4,(6, 1),relu,6,sigmoid,0.001
400,0.04755015671253204,0.047443867,0.10628599,0.001,5,4,(6, 6),relu,6,sigmoid,0.001
400,0.008003347260611398,0.007992288,0.011059953,0.01,6,3,(3, 3),relu,3,sigmoid,0.001
400,0.004256795027426311,0.004234597,0.02219806,0.01,6,4,(6, 1),elu,6,relu,0.001
400,0.002856165503284761,0.0028470417,0.009123904,0.001,6,2,(6, 3),elu,6,sigmoid,0.001
400,0.005352671111800841,0.005339174,0.013497133,0.001,4,3,(6, 6),tanh,6,softplus,0.001
400,0.08515395479542869,0.08495334,0.20062017,0.0001,5,2,(3, 1),relu,6,softplus,0.001
400,0.0028093853034079075,0.0028004902,0.008895106,0.01,5,3,(6, 1),elu,6,softplus,0.001
400,0.002434670412912965,0.002429058,0.0056122933,0.001,5,4,(3, 3),elu,3,softplus,0.001
400,0.0059283450511949404,0.0059112157,0.017129635,0.001,5,4,(3, 1),tanh,3,softplus,0.001
400,0.0034734690096229317,0.0034667514,0.0067174295,0.01,5,3,(6, 3),tanh,6,sigmoid,0.001
