round_epochs,loss,mean_squared_error,kullback_leibler_divergence,reconstruction_loss_weight,encoder_num_conv_layers,latent_space_dim,conv_params_middle_kernel_size,conv_params_middle_activation,conv_params_end_kernel_size,conv_params_end_activation
100,1.4053502082824707,0.03491225,0.091977544,0.01,4,2,(6, 1),tanh,3,sigmoid
100,0.6230642795562744,0.019918391,0.03781584,0.001,4,4,(6, 6),tanh,6,softplus
100,0.365190327167511,0.012150912,0.02822893,0.01,4,4,(6, 3),elu,3,softplus
100,2.331754684448242,0.058378514,0.16395757,0.01,6,3,(6, 3),tanh,6,relu
100,3.858933687210083,0.0936437,0.22376804,0.01,6,3,(6, 3),relu,3,relu
100,1.2228347063064575,0.030027417,0.10480991,0.001,5,4,(6, 3),elu,6,softplus
100,0.551154375076294,0.0185339,0.04691744,0.0001,4,4,(6, 3),tanh,6,sigmoid
100,0.5396769046783447,0.016219966,0.12254383,0.01,6,3,(6, 6),elu,6,relu
100,0.6518359184265137,0.019452168,0.060554955,0.0001,6,2,(6, 1),elu,6,softplus
100,1.3617267608642578,0.03405599,0.11351485,0.01,4,4,(3, 3),tanh,6,softplus
100,1.3490266799926758,0.031477593,0.06641295,0.001,5,2,(3, 1),tanh,3,relu
100,0.3347778618335724,0.011388698,0.029358564,0.0001,5,4,(6, 6),elu,6,sigmoid
100,1.0409879684448242,0.026498962,0.032826915,0.001,5,4,(3, 1),tanh,3,sigmoid
100,4.501272201538086,0.10783557,1.966518,0.0001,6,3,(6, 3),relu,6,relu
100,0.7298802137374878,0.019388381,0.034497738,0.0001,5,2,(3, 1),relu,6,softplus
100,2.373957395553589,0.057711225,0.14576411,0.0001,5,2,(3, 1),tanh,6,softplus
100,2.3650999069213867,0.056580473,0.14989765,0.0001,6,3,(3, 1),tanh,6,relu
100,0.7105619311332703,0.019868141,0.30398855,0.001,4,2,(6, 3),elu,3,relu
100,3.6626765727996826,0.09847093,0.016153939,0.01,4,2,(6, 3),relu,3,sigmoid
100,0.9291067123413086,0.022930246,0.08524927,0.01,6,3,(3, 3),tanh,6,softplus
100,2.3871262073516846,0.057946738,0.14339978,0.01,5,3,(3, 1),tanh,6,sigmoid
100,2.4619905948638916,0.06447468,0.15441929,0.001,4,4,(6, 3),relu,3,sigmoid
100,1.7375824451446533,0.04688004,0.12925728,0.01,4,2,(6, 3),elu,3,sigmoid
100,0.6345393657684326,0.015551084,0.24281251,0.001,6,2,(3, 3),elu,3,relu
100,1.9868814945220947,0.052311584,0.12191411,0.0001,4,2,(6, 3),tanh,3,softplus
100,0.7379090785980225,0.017885178,0.29222742,0.01,4,2,(3, 3),tanh,6,relu
100,0.3667229413986206,0.011951185,0.062187918,0.001,6,4,(6, 6),elu,6,relu
100,0.9400414228439331,0.02399625,0.116196945,0.0001,4,2,(3, 1),elu,3,softplus
100,0.7369974851608276,0.020121101,0.21323125,0.01,5,3,(6, 6),elu,6,relu
100,1.3800257444381714,0.03383352,0.12503262,0.0001,6,3,(3, 1),elu,6,softplus
100,2.335637331008911,0.057566106,0.13780051,0.0001,4,3,(6, 6),elu,6,sigmoid
100,5.221491813659668,0.13699955,0.07298333,0.01,5,2,(6, 3),relu,3,sigmoid
100,0.4382183253765106,0.01138893,0.024927713,0.001,6,4,(6, 1),elu,6,softplus
100,2.3357536792755127,0.056601267,0.1421092,0.0001,5,2,(3, 3),tanh,6,softplus
100,1.0914314985275269,0.02888744,0.06575173,0.0001,6,2,(6, 6),elu,3,softplus
100,0.4304957687854767,0.0118768625,0.024025995,0.001,5,3,(3, 3),elu,3,sigmoid
100,3.863661527633667,0.09366504,0.2271695,0.01,4,2,(6, 6),relu,6,relu
100,1.2690210342407227,0.03501534,0.094261706,0.01,6,3,(6, 1),tanh,3,sigmoid
100,0.4187609553337097,0.010643207,0.017871132,0.001,6,2,(3, 3),elu,6,softplus
100,4.569960594177246,0.11975723,0.059160594,0.01,4,3,(6, 6),relu,6,sigmoid
100,3.8580100536346436,0.093642086,0.22302976,0.001,4,4,(6, 3),relu,6,relu
100,1.492377519607544,0.037525624,0.09025378,0.001,6,3,(6, 1),tanh,3,sigmoid
100,2.483520984649658,0.060440164,0.12185805,0.0001,4,2,(3, 1),relu,6,sigmoid
100,0.5781034231185913,0.017139591,0.0113733625,0.01,6,4,(6, 3),tanh,3,sigmoid
100,1.0787674188613892,0.026603466,0.4193034,0.0001,6,2,(6, 6),relu,6,sigmoid
100,6.727644443511963,0.18031614,0.031123308,0.01,5,4,(6, 3),relu,3,softplus
100,0.35997989773750305,0.0123867495,0.019179314,0.01,4,4,(6, 6),elu,6,softplus
100,4.266627311706543,0.11054503,0.08117856,0.001,4,2,(6, 6),relu,3,sigmoid
100,1.9736764430999756,0.047206435,0.089681834,0.001,5,3,(3, 3),relu,3,relu
100,3.858670949935913,0.09364332,0.22356108,0.001,4,4,(6, 1),relu,3,relu
100,1.1892354488372803,0.031234667,0.09275116,0.001,4,4,(6, 6),tanh,6,relu
100,0.9293243885040283,0.024200123,0.0759869,0.01,4,4,(6, 1),tanh,3,softplus
100,0.44411134719848633,0.012656934,0.030237613,0.0001,4,2,(3, 1),elu,3,relu
100,2.3767712116241455,0.060389575,0.14226435,0.001,4,4,(6, 6),elu,3,softplus
100,2.357924461364746,0.057725422,0.14106384,0.0001,6,2,(6, 3),elu,3,sigmoid
100,2.175368547439575,0.053624727,0.14713669,0.01,4,3,(3, 1),tanh,6,softplus
100,1.3579970598220825,0.034196805,0.093830094,0.01,6,4,(6, 6),tanh,3,softplus
100,1.1077951192855835,0.02874526,0.095376745,0.0001,6,2,(6, 1),tanh,6,softplus
100,0.7481534481048584,0.022239318,0.029757455,0.0001,6,4,(6, 6),tanh,3,sigmoid
100,6.727621555328369,0.18031603,0.031123757,0.0001,5,2,(6, 6),relu,3,softplus
100,0.793952465057373,0.02132828,0.05313335,0.01,6,2,(6, 1),elu,6,sigmoid
100,0.44847607612609863,0.012661581,0.027848914,0.01,4,4,(6, 6),relu,3,sigmoid
100,0.5171331167221069,0.016067566,0.015977588,0.001,6,4,(6, 6),tanh,6,sigmoid
100,0.5620893836021423,0.018742813,0.034121916,0.0001,5,3,(6, 1),elu,3,relu
100,1.4547748565673828,0.03869618,0.11400931,0.01,4,3,(6, 1),tanh,3,softplus
100,1.1414326429367065,0.030297307,0.06097744,0.0001,4,2,(3, 1),elu,3,sigmoid
100,1.1803432703018188,0.02827841,0.31806472,0.0001,4,3,(3, 1),elu,3,relu
100,0.6970400214195251,0.01890263,0.062132515,0.01,5,4,(6, 3),elu,3,sigmoid
100,1.2904928922653198,0.03393929,0.07579295,0.0001,4,2,(6, 6),tanh,3,sigmoid
100,6.727618217468262,0.18031599,0.03112384,0.01,5,4,(6, 6),relu,3,softplus
100,0.4886758625507355,0.014836809,0.025953958,0.001,4,3,(6, 6),tanh,6,softplus
100,0.8904086947441101,0.024471205,0.30880302,0.0001,6,2,(6, 1),elu,3,relu
100,0.8306847214698792,0.021090753,0.04587584,0.001,4,4,(3, 1),elu,6,relu
100,0.3380269706249237,0.01025711,0.0210626,0.01,5,2,(6, 3),elu,6,sigmoid
100,6.727663516998291,0.18031648,0.031122882,0.0001,4,3,(3, 3),relu,3,softplus
100,1.0969038009643555,0.034314025,0.049095776,0.001,4,3,(6, 3),relu,6,softplus
100,1.3014413118362427,0.03390521,0.100279145,0.01,5,4,(6, 1),tanh,3,softplus
100,0.8622997999191284,0.023066215,0.03883814,0.0001,6,3,(6, 3),elu,3,softplus
100,2.3845059871673584,0.057890818,0.13831666,0.0001,4,3,(3, 3),elu,3,sigmoid
100,1.3058182001113892,0.03218594,0.08404859,0.001,5,4,(3, 3),tanh,3,softplus
100,1.6438252925872803,0.039947156,0.89573866,0.0001,6,4,(6, 3),relu,3,softplus
100,2.397226095199585,0.059765387,0.15026233,0.0001,5,3,(6, 1),tanh,3,relu
100,0.6898270845413208,0.022488529,0.035127904,0.001,6,3,(6, 1),tanh,6,sigmoid
100,6.727618217468262,0.18031599,0.03112384,0.0001,6,2,(3, 3),relu,3,softplus
100,1.2004191875457764,0.030608589,0.43340105,0.01,6,4,(6, 1),elu,3,relu
100,0.877535879611969,0.023178244,0.0789093,0.001,4,4,(6, 1),elu,6,softplus
100,3.8316080570220947,0.09366778,0.20872864,0.01,4,2,(6, 1),tanh,3,relu
100,0.79278165102005,0.020408435,0.044819903,0.01,6,3,(3, 3),elu,3,softplus
100,2.3676841259002686,0.058667198,0.1411737,0.01,5,3,(6, 1),tanh,6,sigmoid
100,0.6102001667022705,0.017983781,0.012436636,0.01,6,2,(6, 3),elu,3,sigmoid
100,0.680585503578186,0.019499209,0.038722068,0.01,5,3,(6, 6),tanh,3,sigmoid
100,0.5186012983322144,0.013677469,0.027122106,0.0001,6,4,(6, 6),elu,6,softplus
100,0.41533422470092773,0.036761563,0.016476398,0.0001,4,2,(6, 3),elu,3,softplus
100,0.77437424659729,0.024019348,0.071104124,0.01,4,2,(6, 1),elu,6,sigmoid
100,0.45102834701538086,0.013460283,0.01866037,0.01,5,3,(6, 3),elu,3,sigmoid
100,2.3403208255767822,0.055598553,0.22371916,0.001,4,3,(3, 1),elu,6,relu
100,2.5152618885040283,0.059276696,0.14427267,0.001,4,3,(3, 1),relu,6,relu
100,0.5970945954322815,0.016550547,0.21693249,0.01,6,2,(6, 3),elu,6,relu
100,3.8586957454681396,0.0936433,0.22358069,0.01,5,2,(6, 6),relu,3,relu
100,1.895337462425232,0.045556847,0.25531688,0.01,4,3,(3, 1),tanh,6,relu
100,0.675745964050293,0.01774372,0.2405938,0.0001,6,3,(6, 3),elu,6,relu
100,2.41786789894104,0.06327753,0.1575706,0.001,6,2,(6, 1),relu,6,sigmoid
100,2.362471103668213,0.057189997,0.14133897,0.0001,4,3,(3, 3),tanh,3,sigmoid
100,0.5228165984153748,0.0155217275,0.028798021,0.0001,4,3,(6, 1),elu,3,sigmoid
100,2.3315560817718506,0.057629723,0.13548891,0.0001,4,3,(6, 6),elu,6,softplus
100,2.369539976119995,0.057690594,0.14822675,0.01,5,4,(3, 1),relu,3,softplus
100,0.31302788853645325,0.010102451,0.02379699,0.0001,6,3,(6, 6),elu,3,sigmoid
100,2.3511364459991455,0.058263894,0.13797107,0.001,5,4,(6, 3),tanh,6,sigmoid
100,2.4477264881134033,0.058167472,0.17237945,0.0001,6,2,(3, 1),tanh,3,relu
100,0.3020194470882416,0.00969056,0.02514935,0.001,4,4,(6, 3),elu,6,sigmoid
100,1.065286636352539,0.026137188,0.043396786,0.0001,4,3,(3, 1),tanh,3,relu
100,2.3377246856689453,0.057475634,0.1380609,0.0001,4,2,(6, 3),tanh,6,softplus
100,1.7545721530914307,0.044085603,0.1045208,0.001,6,2,(6, 3),tanh,3,softplus
100,5.221491813659668,0.13699956,0.07298335,0.001,6,3,(6, 6),relu,6,sigmoid
100,2.379425525665283,0.058865383,0.13493374,0.01,5,4,(6, 3),tanh,3,softplus
100,3.769054889678955,0.091853864,0.20824878,0.001,5,4,(6, 3),elu,3,relu
100,0.5679502487182617,0.0185133,0.0934337,0.01,4,3,(6, 6),elu,6,relu
100,1.3823610544204712,0.034096025,0.10153979,0.01,5,4,(3, 3),elu,3,sigmoid
100,0.7881633043289185,0.02583012,0.189605,0.0001,6,3,(6, 1),elu,3,relu
100,0.4201204180717468,0.012700229,0.06634256,0.0001,5,4,(6, 3),elu,6,relu
100,0.6574484705924988,0.018211942,0.20299083,0.001,6,3,(6, 3),elu,6,relu
100,0.7012279629707336,0.020174678,0.060692843,0.0001,4,4,(6, 3),relu,6,relu
100,0.740847647190094,0.025233267,0.021828042,0.0001,4,3,(6, 3),elu,6,softplus
100,0.9131962656974792,0.023138195,0.36047935,0.001,5,4,(6, 1),tanh,3,relu
100,2.334264039993286,0.060158115,0.13694441,0.01,5,4,(6, 1),elu,3,softplus
100,0.7367327213287354,0.024374548,0.016171534,0.01,5,4,(6, 1),elu,3,sigmoid
100,1.011519432067871,0.033380657,0.113663636,0.0001,5,2,(6, 3),tanh,6,softplus
100,1.5801774263381958,0.039658967,0.11857681,0.0001,4,2,(3, 1),tanh,6,softplus
100,0.978251576423645,0.029038463,0.109644875,0.0001,4,3,(6, 3),tanh,6,sigmoid
100,0.572889506816864,0.015728304,0.02165026,0.0001,6,3,(3, 3),elu,3,sigmoid
100,0.4655645191669464,0.011629031,0.023533668,0.0001,4,4,(3, 3),elu,6,sigmoid
100,0.5764468312263489,0.018393476,0.0073866523,0.001,5,4,(6, 6),tanh,3,sigmoid
100,1.470942735671997,0.036844295,0.113634914,0.0001,4,2,(3, 3),tanh,6,softplus
100,0.7090858221054077,0.019820943,0.060130972,0.01,5,4,(6, 3),relu,6,relu
100,2.3172688484191895,0.056741804,0.13677186,0.001,5,3,(6, 6),elu,3,sigmoid
100,0.7285065054893494,0.020398624,0.21879016,0.0001,5,3,(6, 6),elu,3,relu
100,2.415693998336792,0.059281275,0.1577398,0.01,4,4,(6, 6),relu,6,relu
100,0.5900431871414185,0.016787712,0.16352855,0.01,5,2,(6, 6),tanh,3,relu
100,1.1788896322250366,0.028162098,0.098436296,0.0001,4,3,(3, 3),tanh,6,softplus
100,6.727724075317383,0.18031874,0.031121574,0.001,5,4,(3, 1),relu,3,softplus
100,2.3496925830841064,0.058634996,0.15674663,0.0001,5,2,(6, 3),tanh,6,relu
100,1.3313792943954468,0.03655478,0.07352853,0.01,5,3,(6, 6),elu,6,sigmoid
100,2.4631056785583496,0.06036909,0.133472,0.001,5,3,(3, 3),tanh,3,softplus
100,6.727627277374268,0.18031605,0.031123625,0.0001,6,2,(3, 1),relu,3,softplus
100,1.4539366960525513,0.037221584,0.08132183,0.001,6,3,(3, 3),tanh,3,softplus
100,6.7276105880737305,0.18031573,0.031123996,0.01,4,4,(6, 1),relu,6,softplus
100,4.507352352142334,0.11588544,0.10667425,0.001,6,4,(3, 3),relu,6,sigmoid
