round_epochs,loss,mean_squared_error,kullback_leibler_divergence,reconstruction_loss_weight,reduce_depth,loss_squared,loss_mse_linear_weight
200,0.0021191371589191466,0.0021191349,0.0022490032,1e-05,False,False,(2.0, 1.0)
200,0.0021224349955689973,0.0021224315,0.003280559,1e-05,True,False,(2.0, 1.0)
200,0.0020315549219308117,0.0020315505,0.0042748824,0.001,True,False,(5.0, 1.0)
200,0.002441295361479318,0.002441292,0.0033400708,0.001,True,True,(1.0, 1.0)
200,0.0021237370456626127,0.0021237326,0.004719593,1e-07,False,False,(5.0, 1.0)
200,0.0025584765465399405,0.0025584775,-0.0010437017,0.001,True,False,(2.0, 1.0)
200,0.002218226657649658,0.0022182227,0.0039366363,1e-07,True,False,(2.0, 1.0)
200,0.003786735007716291,0.003786727,0.007924074,1e-07,True,True,(2.0, 1.0)
200,0.002138589093898678,0.0021385862,0.0028691485,1e-05,False,True,(2.0, 1.0)
200,0.002320778328540355,0.0023207737,0.0044162353,1e-05,True,True,(5.0, 1.0)
200,0.004623034201541593,0.00462303,0.0047462624,1e-05,False,False,(1.0, 1.0)
200,0.0023838281709513518,0.0023838219,0.006413359,1e-05,True,True,(2.0, 1.0)
200,0.0022609000531280173,0.0022608966,0.0033632584,0.001,False,True,(5.0, 1.0)
200,0.005089930055777454,0.0050899168,0.013310925,0.001,False,False,(5.0, 1.0)
200,0.002251649013975396,0.002251645,0.0040363045,1e-05,False,False,(5.0, 1.0)
200,0.002614968934996501,0.002614965,0.00400679,0.001,False,False,(1.0, 1.0)
200,0.002279038109176652,0.0022790337,0.0043461914,1e-05,True,False,(1.0, 1.0)
200,0.002843702716659234,0.0028436936,0.008941722,1e-07,False,True,(2.0, 1.0)
200,0.0024681338109076023,0.0024681296,0.004091036,1e-07,False,True,(1.0, 1.0)
200,0.0020100373121800536,0.0020100344,0.0027309856,1e-07,False,False,(1.0, 1.0)
200,0.002602442351102246,0.002602437,0.0053541223,1e-05,False,True,(1.0, 1.0)
200,0.0022680647541149703,0.002268062,0.0027804314,1e-05,True,False,(5.0, 1.0)
200,0.0025549986160375887,0.0025549978,0.0010070588,1e-05,True,True,(1.0, 1.0)
200,0.0021298265412408213,0.0021298237,0.002970882,1e-07,True,True,(5.0, 1.0)
200,0.00256354955815861,0.002563544,0.005378693,1e-07,True,False,(1.0, 1.0)
200,0.007023898296724152,0.0070238607,0.03795146,1e-07,True,True,(1.0, 1.0)
200,0.00211126064262535,0.0021112573,0.003396467,0.001,True,True,(2.0, 1.0)
